Customer ID,Type,Coordinates_X,Coordinates_Y,Demand_units,Time_Window_Start,Time_Window_End,Service_Time
0,Depot,-75.501,40.943,0,9,17,0.0
1,Customer,-75.53668928386355,41.02746402375167,1,11,13,0.25
2,Customer,-75.59584755071494,40.84204247720473,1,15,17,0.25
3,Customer,-75.43827014136868,40.974860634897595,1,10,12,0.25
4,Customer,-75.53533616574768,40.96628464733083,1,12,15,0.25
5,Customer,-75.64400024631301,40.9136534628718,1,12,15,0.25
6,Customer,-75.50615484023872,40.963421034397186,1,15,15,0.25
7,Customer,-75.33140888533562,40.97387128563794,1,14,16,0.25
8,Customer,-75.42650875356921,40.96808451258767,1,14,14,0.25
9,Customer,-75.51731194205438,40.864029822918134,1,15,17,0.25
10,Customer,-75.37962937688127,40.91853832688477,1,14,16,0.25
